Mail ID,Author,Subject,TimeStamp,Content,Vendor,Item,Buyer,Amount,Quality,Weapon,Type,Vendor Type
00770639,SWG.Restoration.auctioner,Vendor Sale Complete,2022-04-22 17:48:55,"Vendor: MM Weapons has sold MM | Sliced Power Hammer to Kix Zovrin for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Power Hammer,Kix Zovrin,125000,Sliced,Power Hammer,Two Hand,Weapon
00773766,SWG.Restoration.auctioner,Vendor Sale Complete,2022-04-23 05:30:14,"Vendor: MM Weapons has sold MM | 79 SAC Enhanced DL44 XT to Kramer for 200000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | 79 SAC Enhanced DL44 XT,Kramer,200000,Enhanced,SAC Enhanced DL44 XT,,Weapon
00809201,SWG.Restoration.auctioner,Vendor Sale Complete,2022-04-28 22:58:58,"Vendor: MM Weapons has sold MM | Clearance Long Vibro Axe to Orix'Ne for 60000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Clearance Long Vibro Axe,Orix'Ne,60000,Clearance,Long Vibro Axe,Polearm,Weapon
00809312,SWG.Restoration.auctioner,Vendor Sale Complete,2022-04-28 23:15:40,"Vendor: MM Weapons has sold MM | Clearance E11 Carbine to Syck Wydit for 60000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Clearance E11 Carbine,Syck Wydit,60000,Clearance,E11 Carbine,Carbine,Weapon
00809315,SWG.Restoration.auctioner,Vendor Sale Complete,2022-04-28 23:15:55,"Vendor: MM Weapons has sold MM | Clearance Tusken Rifle to Syck Wydit for 60000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Clearance Tusken Rifle,Syck Wydit,60000,Clearance,Tusken Rifle,Rifle,Weapon
00811820,SWG.Restoration.auctioner,Vendor Sale Complete,2022-04-29 07:30:17,"Vendor: MM Weapons has sold MM | Clearance Vibro Blade to Orix'Ne for 60000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Clearance Vibro Blade,Orix'Ne,60000,Clearance,Vibro Blade,One Hand,Weapon
00811974,SWG.Restoration.auctioner,Vendor Sale Complete,2022-04-29 08:08:03,"Vendor: MM Weapons has sold MM | Sliced Power Hammer to Orix'Ne for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Power Hammer,Orix'Ne,125000,Sliced,Power Hammer,Two Hand,Weapon
00811978,SWG.Restoration.auctioner,Vendor Sale Complete,2022-04-29 08:09:59,"Vendor: MM Weapons has sold MM | Sliced Vibro Knuckler to Orix'Ne for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Vibro Knuckler,Orix'Ne,125000,Sliced,Vibro Knuckler,Melee,Weapon
00838000,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-03 21:20:30,"Vendor: MM Weapons has sold MM | Sliced T21 Rifle to Mosep for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced T21 Rifle,Mosep,125000,Sliced,T21 Rifle,Rifle,Weapon
00848057,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-05 11:03:06,"Vendor: MM Weapons has sold MM | Sliced Elite Carbine to Tolis Hellenas for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Elite Carbine,Tolis Hellenas,125000,Sliced,Elite Carbine,Carbine,Weapon
00857679,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-07 12:22:40,"Vendor: MM Weapons has sold MM | Sliced Elite Carbine to Grandma Rose for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Elite Carbine,Grandma Rose,125000,Sliced,Elite Carbine,Carbine,Weapon
00866988,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-08 21:14:53,"Vendor: MM Weapons has sold MM | Sliced Rocket Launcher to Brazzez for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Rocket Launcher,Brazzez,125000,Sliced,Rocket Launcher,Heavy,Weapon
00869034,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-09 04:26:21,"Vendor: MM Weapons has sold MM | Sliced Rocket Launcher to Harssh Sslice for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Rocket Launcher,Harssh Sslice,125000,Sliced,Rocket Launcher,Heavy,Weapon
00869040,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-09 04:27:34,"Vendor: MM Weapons has sold MM | Sliced Tusken Rifle to Harssh Sslice for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Tusken Rifle,Harssh Sslice,125000,Sliced,Tusken Rifle,Rifle,Weapon
00884102,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-12 05:21:39,"Vendor: MM Weapons has sold MM | Enhanced Tusken Rifle to Telrain Cosmar for 175000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced Tusken Rifle,Telrain Cosmar,175000,Enhanced,Tusken Rifle,Rifle,Weapon
00884721,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-12 11:57:00,"Vendor: MM Weapons has sold MM | Enhanced 84 SAC EE3 Carbine to Stickyduck for 175000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced 84 SAC EE3 Carbine,Stickyduck,175000,Enhanced,84 SAC EE3 Carbine,,Weapon
00892308,SWG.Restoration.auctioner,Vendor Sale Complete,2022-05-13 22:10:52,"Vendor: MM Weapons has sold MM | Enhanced EE3 Carbine to Somraaw Kuddon for 175000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced EE3 Carbine,Somraaw Kuddon,175000,Enhanced,EE3 Carbine,Carbine,Weapon
